Blade section properties
51        n_secs:     number of blade sections at which properties are specified (-)

sec_loc	str_tw	tw_iner	mass_den	flp_iner	edge_iner	flp_stff	edge_stff	tor_stff	axial_stff	cg_offst	sc_offst	tc_offst
	(-)	(deg)	(deg)	(kg/m)		(kg-m)		(kg-m)		(Nm^2)		(Nm^2)		(Nm^2)		(N)		(m)		(m)		(m)
      0.91      1.06      1.06     61.80      3.51     23.23     26658195.00    125149196.49     20249000.00   1249600000.00      0.02      0.03      0.00
      0.93      1.05      1.05     52.94      2.50     17.65     20639627.05    101226285.41     15537000.00   1006500000.00      0.01      0.03      0.00
      0.94      1.08      1.08     43.75      1.63     12.75     14678041.81     80278633.73     11392000.00    779110000.00      0.01      0.03      0.00
      0.96      1.15      1.15     33.97      0.89      8.08      8448863.55     58560350.45      7213800.00    553870000.00      0.01      0.02      0.00
      0.99      1.21      1.21     21.96      0.31      3.55      2972695.91     27576548.85      2935700.00    307400000.00      0.01      0.02      0.00
      1.00      1.34      1.34     13.88      0.08      1.12       749047.50      9268506.00       793300.00    172200000.00      0.00      0.01      0.00

**Note: If the above data represents TOWER properties, the following are overwritten:
str_tw is set to zero
tw_iner is set to zero
cg_offst is set to zero
sc_offst is set to zero
tc_offst is set to zero
edge_iner is set equal to flp_iner
 edge_stff is set equal to flp_stff
